2025-09-28 15:23:37,270 - INFO - DNS General iniciado en 0.0.0.0:50005
2025-09-28 15:23:37,271 - INFO - Esperando registros de servidores...
2025-09-28 15:26:52,168 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:26:52,170 - INFO - Esperando registros de servidores...
2025-09-28 15:47:17,680 - INFO - Petición de ('127.0.0.1', 65395): heartbeat
2025-09-28 15:47:18,062 - INFO - Petición de ('127.0.0.1', 65396): heartbeat
2025-09-28 15:47:46,489 - INFO - Petición de ('127.0.0.1', 55747): heartbeat
2025-09-28 15:47:46,867 - INFO - Petición de ('127.0.0.1', 55749): heartbeat
2025-09-28 15:47:47,282 - INFO - Petición de ('127.0.0.1', 55750): heartbeat
2025-09-28 15:47:47,682 - INFO - Petición de ('127.0.0.1', 55751): heartbeat
2025-09-28 15:47:48,064 - INFO - Petición de ('127.0.0.1', 55752): heartbeat
2025-09-28 15:48:16,490 - INFO - Petición de ('127.0.0.1', 57113): heartbeat
2025-09-28 15:48:16,869 - INFO - Petición de ('127.0.0.1', 57114): heartbeat
2025-09-28 15:48:17,286 - INFO - Petición de ('127.0.0.1', 54068): heartbeat
2025-09-28 15:48:17,686 - INFO - Petición de ('127.0.0.1', 54069): heartbeat
2025-09-28 15:48:18,068 - INFO - Petición de ('127.0.0.1', 54070): heartbeat
2025-09-28 15:48:46,492 - INFO - Petición de ('127.0.0.1', 59965): heartbeat
2025-09-28 15:48:46,871 - INFO - Petición de ('127.0.0.1', 59967): heartbeat
2025-09-28 15:48:47,291 - INFO - Petición de ('127.0.0.1', 59968): heartbeat
2025-09-28 15:48:47,690 - INFO - Petición de ('127.0.0.1', 59969): heartbeat
2025-09-28 15:48:48,072 - INFO - Petición de ('127.0.0.1', 59970): heartbeat
2025-09-28 15:49:16,495 - INFO - Petición de ('127.0.0.1', 65001): heartbeat
2025-09-28 15:49:16,872 - INFO - Petición de ('127.0.0.1', 65002): heartbeat
2025-09-28 15:49:17,293 - INFO - Petición de ('127.0.0.1', 65003): heartbeat
2025-09-28 15:49:17,691 - INFO - Petición de ('127.0.0.1', 65004): heartbeat
2025-09-28 15:49:18,074 - INFO - Petición de ('127.0.0.1', 65005): heartbeat
2025-09-28 15:49:46,497 - INFO - Petición de ('127.0.0.1', 60926): heartbeat
2025-09-28 15:49:46,874 - INFO - Petición de ('127.0.0.1', 60928): heartbeat
2025-09-28 15:49:47,295 - INFO - Petición de ('127.0.0.1', 60929): heartbeat
2025-09-28 15:49:47,694 - INFO - Petición de ('127.0.0.1', 60930): heartbeat
2025-09-28 15:49:48,077 - INFO - Petición de ('127.0.0.1', 60931): heartbeat
2025-09-28 15:50:16,499 - INFO - Petición de ('127.0.0.1', 53642): heartbeat
2025-09-28 15:50:16,877 - INFO - Petición de ('127.0.0.1', 53643): heartbeat
2025-09-28 15:50:17,297 - INFO - Petición de ('127.0.0.1', 53644): heartbeat
2025-09-28 15:50:17,697 - INFO - Petición de ('127.0.0.1', 53645): heartbeat
2025-09-28 15:50:18,079 - INFO - Petición de ('127.0.0.1', 53646): heartbeat
2025-09-28 15:50:46,500 - INFO - Petición de ('127.0.0.1', 63190): heartbeat
2025-09-28 15:50:46,879 - INFO - Petición de ('127.0.0.1', 63192): heartbeat
2025-09-28 15:50:47,299 - INFO - Petición de ('127.0.0.1', 63193): heartbeat
2025-09-28 15:50:47,699 - INFO - Petición de ('127.0.0.1', 63194): heartbeat
2025-09-28 15:50:48,081 - INFO - Petición de ('127.0.0.1', 63195): heartbeat
2025-09-28 15:51:16,503 - INFO - Petición de ('127.0.0.1', 49538): heartbeat
2025-09-28 15:51:16,880 - INFO - Petición de ('127.0.0.1', 49539): heartbeat
2025-09-28 15:51:17,310 - INFO - Petición de ('127.0.0.1', 49540): heartbeat
2025-09-28 15:51:17,701 - INFO - Petición de ('127.0.0.1', 49541): heartbeat
2025-09-28 15:51:18,083 - INFO - Petición de ('127.0.0.1', 49542): heartbeat
2025-09-28 15:51:46,506 - INFO - Petición de ('127.0.0.1', 60108): heartbeat
2025-09-28 15:51:46,883 - INFO - Petición de ('127.0.0.1', 60110): heartbeat
2025-09-28 15:51:47,312 - INFO - Petición de ('127.0.0.1', 60111): heartbeat
2025-09-28 15:51:47,703 - INFO - Petición de ('127.0.0.1', 60112): heartbeat
2025-09-28 15:51:48,086 - INFO - Petición de ('127.0.0.1', 60113): heartbeat
2025-09-28 15:52:29,113 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:52:29,113 - INFO - Esperando registros de servidores...
2025-09-28 15:52:38,389 - INFO - Petición de ('127.0.0.1', 57139): registrar_servidor
2025-09-28 15:52:38,390 - INFO - Servidor SERVER1 registrado con 4 archivos
2025-09-28 15:52:38,765 - INFO - Petición de ('127.0.0.1', 57141): registrar_servidor
2025-09-28 15:52:38,766 - INFO - Servidor SERVER_MARCO registrado con 0 archivos
2025-09-28 15:52:39,147 - INFO - Petición de ('127.0.0.1', 57143): registrar_servidor
2025-09-28 15:52:39,148 - INFO - Servidor server_dan registrado con 2 archivos
2025-09-28 15:52:39,516 - INFO - Petición de ('127.0.0.1', 57145): registrar_servidor
2025-09-28 15:52:39,517 - INFO - Servidor server_gus registrado con 3 archivos
2025-09-28 15:52:39,876 - INFO - Petición de ('127.0.0.1', 52693): registrar_servidor
2025-09-28 15:52:39,877 - INFO - Servidor server_christian registrado con 0 archivos
2025-09-28 15:53:08,394 - INFO - Petición de ('127.0.0.1', 63307): heartbeat
2025-09-28 15:53:08,769 - INFO - Petición de ('127.0.0.1', 63308): heartbeat
2025-09-28 15:53:09,150 - INFO - Petición de ('127.0.0.1', 63309): heartbeat
2025-09-28 15:53:09,521 - INFO - Petición de ('127.0.0.1', 63310): heartbeat
2025-09-28 15:53:09,880 - INFO - Petición de ('127.0.0.1', 63311): heartbeat
2025-09-28 15:53:38,396 - INFO - Petición de ('127.0.0.1', 52666): heartbeat
2025-09-28 15:53:38,771 - INFO - Petición de ('127.0.0.1', 52668): heartbeat
2025-09-28 15:53:39,152 - INFO - Petición de ('127.0.0.1', 50865): heartbeat
2025-09-28 15:53:39,523 - INFO - Petición de ('127.0.0.1', 50867): heartbeat
2025-09-28 15:53:39,881 - INFO - Petición de ('127.0.0.1', 50869): heartbeat
2025-09-28 15:54:08,399 - INFO - Petición de ('127.0.0.1', 50699): heartbeat
2025-09-28 15:54:08,773 - INFO - Petición de ('127.0.0.1', 50700): heartbeat
2025-09-28 15:54:09,154 - INFO - Petición de ('127.0.0.1', 50701): heartbeat
2025-09-28 15:54:09,526 - INFO - Petición de ('127.0.0.1', 50702): heartbeat
2025-09-28 15:54:09,885 - INFO - Petición de ('127.0.0.1', 50703): heartbeat
2025-09-28 15:54:38,400 - INFO - Petición de ('127.0.0.1', 53798): heartbeat
2025-09-28 15:54:38,775 - INFO - Petición de ('127.0.0.1', 53800): heartbeat
2025-09-28 15:54:39,156 - INFO - Petición de ('127.0.0.1', 53802): heartbeat
2025-09-28 15:54:39,528 - INFO - Petición de ('127.0.0.1', 53804): heartbeat
2025-09-28 15:54:39,887 - INFO - Petición de ('127.0.0.1', 53806): heartbeat
2025-09-28 15:55:08,402 - INFO - Petición de ('127.0.0.1', 53807): heartbeat
2025-09-28 15:55:08,777 - INFO - Petición de ('127.0.0.1', 53808): heartbeat
2025-09-28 15:55:09,158 - INFO - Petición de ('127.0.0.1', 53809): heartbeat
2025-09-28 15:55:09,530 - INFO - Petición de ('127.0.0.1', 53810): heartbeat
2025-09-28 15:55:09,889 - INFO - Petición de ('127.0.0.1', 53811): heartbeat
2025-09-28 15:55:38,404 - INFO - Petición de ('127.0.0.1', 53669): heartbeat
2025-09-28 15:55:38,778 - INFO - Petición de ('127.0.0.1', 53671): heartbeat
2025-09-28 15:55:39,159 - INFO - Petición de ('127.0.0.1', 53673): heartbeat
2025-09-28 15:55:39,533 - INFO - Petición de ('127.0.0.1', 53675): heartbeat
2025-09-28 15:55:39,891 - INFO - Petición de ('127.0.0.1', 53677): heartbeat
2025-09-28 15:56:08,406 - INFO - Petición de ('127.0.0.1', 60289): heartbeat
2025-09-28 15:56:08,781 - INFO - Petición de ('127.0.0.1', 60290): heartbeat
